title,slug,active_installs,relevance,review_count,avg_rating
S3Bubble WordPress Video Streaming,s3bubble-amazon-web-services-oembed-media-streaming-support,400,1,9,3.3
CyberSEO Lite (CyberSyn),cybersyn,10000,0,46,4.1
YourChannel: Everything you want in a YouTube plugin.,yourchannel,10000,0,53,4.7
Automatic Youtube Video Posts Plugin,automatic-youtube-video-posts,3000,1,74,3.1
"PixelYourSite &#8211; Facebook Pixel, Google Analytics, Head &amp; Footer (WooCommerce, EDD, Events)",pixelyoursite,100000,0,151,4.5
Google Maps Easy,google-maps-easy,50000,0,220,4.7
Smartideo,smartideo,5000,0,5,5
10Web YouTube &#8211; Youtube Player and Gallery,wd-youtube,4000,0,28,4.5
MediaElement.js &#8211; HTML5 Video &amp; Audio Player,media-element-html5-video-and-audio-player,20000,1,25,4.2
Carousel Slider,carousel-slider,40000,0,96,4.1
Advanced Gutenberg,advanced-gutenberg,10000,0,33,4.5
10Web Social Feed for Facebook,wd-facebook-feed,40000,0,172,4.4
Responsive Poll,poll-wp,5000,0,48,4.7
Smart Forms &#8211; when you need more than just a contact form,smart-forms,10000,0,174,4.5
WP Post And Widget For Instagram,wp-instagram-post,5000,0,30,4.3
Algori 360 Video,360-video,200,1,2,3
Related Video Widget For Post From Youtube,tube-video-widget-using-post-meta,70,1,3,5
Page scroll to id,page-scroll-to-id,100000,0,154,4.9
"Video Recorder, Video Converter &amp; Video Uploader",clipchamp-video-converter-video-uploader-and-webcam-recorder,400,1,6,3
WordPress Carousel &#8211; Responsive Image Slider for WordPress,wp-carousel-free,10000,0,61,4.2
PayPal Plus for WooCommerce,woo-paypalplus,10000,0,36,4.1
Elementor Custom Skin,ele-custom-skin,8000,0,38,5
uTubeVideo Gallery,utubevideo-gallery,1000,1,9,4.6
Post Grid,post-grid,60000,0,91,4.3
Gmedia Photo Gallery,grand-media,20000,0,248,4.5
Responsive Lightbox &amp; Gallery,responsive-lightbox,300000,0,1460,4.9
Youtube Widget Responsive,youtube-widget-responsive,20000,0,16,4.9
FileBird &#8211; WordPress Media Library Folders,filebird,10000,0,21,4.7
Portfolio Gallery &#8211; Image Gallery WordPress Plugin,portfolio-filter-gallery,10000,0,160,4.8
WooCommerce HSS Extension for Streaming Video,woocommerce-hss-extension-for-streaming-video,100,1,8,4.4
