title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
Under Construction,under-construction-page,24.6,12.61,300000,0,0,7.09,1197,4.9,4.9
BackWPup &#8211; WordPress Backup Plugin,backwpup,24.450000000000003,13.3,600000,0,0,6.75,853,4.4,4.4
Video Grid,video-grid,24.4,7.6,2000,10,1,2.2,9,4.6,4.6
Simple YouTube Responsive,simple-youtube-responsive,24.39,7.6,2000,10,1,1.79,6,5.0,5.0
Smart Slider 3,smart-slider-3,24.32,12.9,400000,0,0,6.52,677,4.9,4.9
Photo Gallery by 10Web &#8211; Mobile-Friendly Image Gallery,photo-gallery,24.32,12.61,300000,0,0,7.11,1226,4.6,4.6
Flowplayer Video Player,flowplayer6-video-player,24.22,8.01,3000,10,1,1.61,5,4.6,4.6
"Video Gallery &#8211; YouTube and Vimeo, Link Gallery",new-video-gallery,24.21,6.91,1000,10,1,2.3,10,5.0,5.0
Responsive videos &#8211; Fitvids,responsive-videos-fitvids,24.21,6.91,1000,10,1,2.3,10,5.0,5.0
"Photo Video Link Gallery &#8211; Images Gallery, YouTube Video Gallery, Light-box Gallery",photo-video-link-gallery,24.12,6.91,1000,10,1,2.71,15,4.5,4.5
Custom Facebook Feed,custom-facebook-feed,24.05,12.21,200000,0,0,7.04,1143,4.8,4.8
File Manager,wp-file-manager,24.0,12.9,400000,0,0,6.3,544,4.8,4.8
Image and video gallery from Google Drive,skaut-google-drive-gallery,23.97,6.91,1000,10,1,2.56,13,4.5,4.5
Gallery Photo Video,gallery-photo-video,23.97,6.4,600,10,1,2.77,16,4.8,4.8
HDW Player Plugin (Video Player &amp; Video Gallery),hdw-player-video-player-video-gallery,23.9,7.6,2000,10,1,2.4,11,3.9,3.9
YouTube Playlist Player,youtube-playlist-player,23.89,6.91,1000,10,1,2.48,12,4.5,4.5
uTubeVideo Gallery,utubevideo-gallery,23.71,6.91,1000,10,1,2.2,9,4.6,4.6
Webcam Video Conference,videowhisper-video-conference-integration,23.69,6.55,700,10,1,2.64,14,4.5,4.5
WordPress Page Builder &#8211; Beaver Builder,beaver-builder-lite-version,23.66,13.12,500000,0,0,5.74,310,4.8,4.8
Google Video Sitemap Feed With Multisite Support,google-video-sitemap-feed-with-multisite-support,23.64,8.85,7000,10,1,1.79,6,3.0,3.0
"Easy Lightbox &#8211; Best Image, Gallery and Video Lightbox for WordPress",easy-lightbox-wp,23.55,7.6,2000,10,1,1.95,7,4.0,4.0
.TUBE Video Curator,tube-video-curator,23.509999999999998,6.55,700,10,1,2.56,13,4.4,4.4
Black Studio TinyMCE Widget,black-studio-tinymce-widget,23.500000000000004,13.46,700000,0,0,5.24,189,4.8,4.8
SiteOrigin Widgets Bundle,so-widgets-bundle,23.490000000000002,13.82,1000000,0,0,4.77,118,4.9,4.9
Admin Columns,codepress-admin-columns,23.439999999999998,11.51,100000,0,0,7.03,1135,4.9,4.9
﻿=== Social Share Icons &amp; Social Share Buttons,ultimate-social-media-plus,23.43,11.0,60000,0,0,7.53,1857,4.9,4.9
"Image and Video Lightbox, Lightbox PopUp",lightbox-popup,23.409999999999997,8.01,3000,10,1,2.2,9,3.2,3.2
Popup Builder &#8211; Responsive WordPress Pop up &#8211; Subscription &amp; Newsletter,popup-builder,23.37,11.51,100000,0,0,7.06,1164,4.8,4.8
Essential Addons for Elementor,essential-addons-for-elementor-lite,23.35,12.21,200000,0,0,6.34,567,4.8,4.8
Import any XML or CSV File to WordPress,wp-all-import,23.34,11.51,100000,0,0,7.13,1249,4.7,4.7
Gallery Plugin for WordPress &#8211; Envira Photo Gallery,envira-gallery-lite,23.330000000000002,11.51,100000,0,0,7.02,1119,4.8,4.8
Video Conferencing with Zoom API,video-conferencing-with-zoom-api,23.31,6.91,1000,10,1,2.4,11,4.0,4.0
Easy Support Videos &#8211; Embed videos in the admin,easy-support-videos,23.16,6.21,500,10,1,1.95,7,5.0,5.0
vooPlayer v4,vooplayer,23.1,6.91,1000,10,1,2.89,18,3.3,3.3
WP Video Gallery,wp-video-gallery-free,23.07,6.91,1000,10,1,2.56,13,3.6,3.6
TechGasp Youtube Master,youtube-master,23.040000000000003,6.55,700,10,1,2.89,18,3.6,3.6
Super Video Player &#8211; Best wordpress video player,super-video-player,23.0,5.7,300,10,1,2.3,10,5.0,5.0
WooCommerce Featured Video,woo-featured-video,23.0,6.21,500,10,1,1.79,6,5.0,5.0
Youtube SpeedLoad,youtube-speedload,23.0,6.91,1000,10,1,1.79,6,4.3,4.3
WP YouTube Live,wp-youtube-live,22.990000000000002,7.6,2000,10,1,1.39,4,4.0,4.0
Use Any Font [ Freemium ],use-any-font,22.93,11.51,100000,0,0,6.72,825,4.7,4.7
YouTube Gallery &#8211; YouTube Channel,yottie-lite,22.9,8.29,4000,10,1,1.61,5,3.0,3.0
Social Media Share Buttons | MashShare,mashsharer,22.82,11.16,70000,0,0,6.86,954,4.8,4.8
Video Dashboard,video-dashboard,22.78,6.68,800,10,1,1.1,3,5.0,5.0
Embed Video Thumbnail,embed-video-thumbnail,22.779999999999998,6.68,800,10,1,2.2,9,3.9,3.9
AMP for WP &#8211; Accelerated Mobile Pages,accelerated-mobile-pages,22.75,11.51,100000,0,0,6.74,842,4.5,4.5
Maintenance,maintenance,22.689999999999998,12.9,400000,0,0,5.39,219,4.4,4.4
Slider by Soliloquy &#8211; Responsive Image Slider for WordPress,soliloquy-lite,22.68,11.29,80000,0,0,6.69,806,4.7,4.7
Workbox Video from Vimeo &amp; Youtube Plugin,workbox-video-from-vimeo-youtube-plugin,22.68,6.68,800,10,1,2.3,10,3.7,3.7
Video Share VOD &#8211; Turnkey Video Site Builder,video-share-vod,22.65,6.55,700,10,1,2.2,9,3.9,3.9
Switch Video Quality,switch-video-quality,22.65,5.7,300,10,1,1.95,7,5.0,5.0
Easy Google Fonts,easy-google-fonts,22.61,12.61,300000,0,0,5.3,200,4.7,4.7
Velocity &#8211; WordPress Lazy Load for Video and Audio,velocity,22.6,6.21,500,10,1,1.39,4,5.0,5.0
Responsive Youtube &amp; Vimeo Video Lightbox,responsive-youtube-vimeo-video-lightbox,22.6,6.91,1000,10,1,0.69,2,5.0,5.0
LidPlay Player,lidplay,22.590000000000003,5.3,200,10,1,2.89,18,4.4,4.4
Ductile Responsive Video,ductile-responsive-video,22.580000000000002,5.99,400,10,1,1.79,6,4.8,4.8
404page &#8211; your smart custom 404 error page,404page,22.560000000000002,11.51,100000,0,0,6.15,470,4.9,4.9
WP Migrate DB,wp-migrate-db,22.54,12.61,300000,0,0,5.33,206,4.6,4.6
Genesis Featured Video,featured-videos-for-genesis,22.5,6.4,600,10,1,1.1,3,5.0,5.0
Import YouTube videos as WP Posts,import-youtube-videos-as-wp-post,22.490000000000002,6.91,1000,10,1,2.08,8,3.5,3.5
WP Youtube Gallery,wp-youtube-gallery,22.47,6.68,800,10,1,1.79,6,4.0,4.0
Video Central for WordPress,video-central,22.36,6.55,700,10,1,1.61,5,4.2,4.2
MailPoet &#8211; emails and newsletters in WordPress,mailpoet,22.29,11.51,100000,0,0,6.28,534,4.5,4.5
Easy FancyBox,easy-fancybox,22.29,12.61,300000,0,0,5.08,161,4.6,4.6
oEmbed External Video,oembed-external-video,22.240000000000002,6.55,700,10,1,0.69,2,5.0,5.0
AE Fb Video Embed,ae-fb-video-embed,22.240000000000002,6.55,700,10,1,0.69,2,5.0,5.0
"WordPress Photo Gallery &#8211; Multipurpose Portfolio, Image Gallery &amp; Video Gallery",photo-gallery-portfolio,22.209999999999997,6.4,600,10,1,1.61,5,4.2,4.2
Auto Last Youtube Video,auto-last-youtube-video,22.2,6.21,500,10,1,1.79,6,4.2,4.2
"WordPress Share Buttons, Related Posts, Google Analytics &#8211; Shareaholic",shareaholic,22.16,11.29,80000,0,0,6.67,788,4.2,4.2
BulletProof Security,bulletproof-security,22.14,11.16,70000,0,0,6.18,485,4.8,4.8
WordPress Download Manager,download-manager,22.11,11.51,100000,0,0,6.5,668,4.1,4.1
VideoWhisper Video Presentation,videowhisper-video-presentation,22.1,5.3,200,10,1,2.3,10,4.5,4.5
"Nextend Social Login and Register (Facebook, Google, Twitter)",nextend-facebook-connect,22.1,12.21,200000,0,0,5.09,163,4.8,4.8
Hummingbird – Speed Up WordPress,hummingbird-performance,22.1,11.16,70000,0,0,6.14,464,4.8,4.8
FooGallery &#8211; Image Gallery WordPress Plugin,foogallery,22.07,11.51,100000,0,0,5.86,352,4.7,4.7
Premium Addons for Elementor,premium-addons-for-elementor,22.060000000000002,11.51,100000,0,0,5.65,284,4.9,4.9
Google Captcha (reCAPTCHA) by BestWebSoft,google-captcha,22.04,12.21,200000,0,0,5.73,309,4.1,4.1
WooCommerce &#8211; Embed Videos To Product Image Gallery,woocommerce-embed-videos-to-product-image-gallery,22.009999999999998,6.91,1000,10,1,2.4,11,2.7,2.7
Photo Gallery by Supsystic,gallery-by-supsystic,21.94,11.16,70000,0,0,5.98,397,4.8,4.8
Brightcove Video Connect,brightcove-video-connect,21.919999999999998,6.91,1000,10,1,1.61,5,3.4,3.4
Vidsy.tv Video Gallery and Video CMS,vidsy,21.91,5.3,200,10,1,1.61,5,5.0,5.0
Video Slider With Thumbnail,video-slider-with-thumbnails,21.900000000000002,6.21,500,10,1,0.69,2,5.0,5.0
Bradmax Player,bradmax-player,21.89,5.7,300,10,1,1.39,4,4.8,4.8
SEOPress,wp-seopress,21.869999999999997,11.0,60000,0,0,5.97,392,4.9,4.9
WordPress SEO Plugin &#8211; Rank Math,seo-by-rank-math,21.869999999999997,11.0,60000,0,0,5.97,392,4.9,4.9
WordPress Featured Video &#8211; VideographyWP,videographywp,21.81,6.8,900,10,1,1.61,5,3.4,3.4
