title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
Easy Social Icons,easy-social-icons,19.31,10.82,50000,0,0,4.09,60,4.4,4.4
Enhanced Ecommerce Google Analytics Plugin for WooCommerce,enhanced-e-commerce-for-woocommerce-store,19.3,10.31,30000,0,0,4.6,99,4.4,4.4
"WordPress Social Login (Facebook, Google, Twitter)",miniorange-login-openid,19.24,10.31,30000,0,0,4.63,103,4.3,4.3
"Coming Soon, Under Construction &amp; Maintenance Mode By Dazzler",coming-soon-wp,19.23,9.21,10000,0,0,5.12,168,4.9,4.9
Recent Facebook Posts,recent-facebook-posts,19.16,9.9,20000,0,0,4.65,105,4.6,4.6
"WPSSO Core &#8211; Advanced Open Graph, Rich Pin, Twitter Card, Social Meta Tags, SEO Rich Results, Schema Markup",wpsso,19.14,9.21,10000,0,0,5.33,206,4.6,4.6
"User Registration &#8211; Custom Registration Form, Login And User Profile For WordPress",user-registration,19.13,9.9,20000,0,0,4.43,84,4.8,4.8
Simple Author Box,simple-author-box,19.11,10.6,40000,0,0,4.11,61,4.4,4.4
Absolutely Glamorous Custom Admin,ag-custom-admin,19.11,10.6,40000,0,0,4.11,61,4.4,4.4
FakerPress,fakerpress,19.11,9.21,10000,0,0,5.0,148,4.9,4.9
WP User Manager &#8211; User Profile Builder &amp; Membership,wp-user-manager,19.01,8.99,8000,0,0,5.32,205,4.7,4.7
WP Hide Post,wp-hide-post,19.01,10.6,40000,0,0,4.51,91,3.9,3.9
Mega Addons For WPBakery Page Builder (formerly Visual Composer),mega-addons-for-visual-composer,18.99,11.0,60000,0,0,3.69,40,4.3,4.3
"Popups, Optin Forms &amp; Email Newsletters for MailChimp, Aweber etc. &#8211; MailOptin",mailoptin,18.98,9.21,10000,0,0,4.97,144,4.8,4.8
Asgaros Forum,asgaros-forum,18.95,9.21,10000,0,0,4.84,127,4.9,4.9
Social Share WordPress Plugin &#8211; AccessPress Social Share,accesspress-social-share,18.92,10.82,50000,0,0,3.5,33,4.6,4.6
Contact Form Email,contact-form-to-email,18.92,10.31,30000,0,0,4.41,82,4.2,4.2
Pinterest Pin It Button On Image Hover And Post,pinterest-pin-it-button-on-image-hover-and-post,18.91,10.82,50000,0,0,3.99,54,4.1,4.1
WordPress File Upload,wp-file-upload,18.89,9.9,20000,0,0,4.38,80,4.6,4.6
"GridKit Portfolio Gallery &#8211; Multipurpose portfolio, gallery, video gallery, product catalog, gallery slider",portfolio-wp,18.88,9.21,10000,0,0,5.27,194,4.4,4.4
WP to Twitter,wp-to-twitter,18.85,10.82,50000,0,0,4.03,56,4.0,4.0
User Profile Picture,metronet-profile-picture,18.81,10.6,40000,0,0,3.61,37,4.6,4.6
Awesome Support &#8211; WordPress HelpDesk &amp; Support Plugin,awesome-support,18.8,9.21,10000,0,0,5.09,162,4.5,4.5
Starbox &#8211; the Author Box for Humans,starbox,18.78,9.21,10000,0,0,5.17,176,4.4,4.4
Like Button Rating ♥ LikeBtn,likebtn-like-button,18.68,8.99,8000,0,0,5.29,199,4.4,4.4
Clean Login,clean-login,18.66,9.21,10000,0,0,4.74,115,4.7,4.7
"rtMedia for WordPress, BuddyPress and bbPress",buddypress-media,18.61,9.9,20000,0,0,4.91,135,3.8,3.8
Social Icons WordPress Plugin &#8211; AccessPress Social Icons,accesspress-social-icons,18.6,10.82,50000,0,0,3.18,24,4.6,4.6
Two-Factor,two-factor,18.59,9.21,10000,0,0,4.48,88,4.9,4.9
Google Apps Login,google-apps-login,18.59,9.9,20000,0,0,3.99,54,4.7,4.7
Fuse Social Floating Sidebar,fuse-social-floating-sidebar,18.53,9.9,20000,0,0,3.83,46,4.8,4.8
Hide SEO Bloat,so-clean-up-wp-seo,18.47,9.21,10000,0,0,4.26,71,5.0,5.0
Toolbar Extras for Elementor &#8211; WordPress Admin Bar Enhanced,toolbar-extras,18.47,9.21,10000,0,0,4.36,78,4.9,4.9
WP-Chatbot for Facebook Messenger Customer Chat,wp-chatbot,18.41,9.9,20000,0,0,3.61,37,4.9,4.9
SecuPress Free — WordPress Security,secupress,18.39,9.9,20000,0,0,4.29,73,4.2,4.2
Widgets for SiteOrigin,widgets-for-siteorigin,18.35,10.6,40000,0,0,3.56,35,4.2,4.2
Elementor Addon Elements,addon-elements-for-elementor-page-builder,18.32,11.16,70000,0,0,2.56,13,4.6,4.6
WC Vendors Marketplace &#8211; The Multivendor Marketplace Solution for WooCommerce,wc-vendors,18.32,9.21,10000,0,0,4.71,111,4.4,4.4
Nimble Page Builder,nimble-builder,18.3,10.31,30000,0,0,3.09,22,4.9,4.9
PIKLIST | Rapid development framework,piklist,18.24,8.99,8000,0,0,4.45,86,4.8,4.8
GS Logo Slider,gs-logo-slider,18.24,9.21,10000,0,0,4.33,76,4.7,4.7
Social Counter for WordPress &#8211; AccessPress Social Counter,accesspress-social-counter,18.16,10.6,40000,0,0,3.37,29,4.2,4.2
Facebook Button by BestWebSoft,facebook-button-plugin,18.15,9.9,20000,0,0,4.25,70,4.0,4.0
WP Socializer,wp-socializer,18.09,9.21,10000,0,0,4.57,97,4.3,4.3
Social Media Follow Buttons Bar,social-media-buttons-toolbar,18.08,9.9,20000,0,0,3.18,24,5.0,5.0
"Free WhatsApp, Messenger, Telegram, Email, SMS, Maps, Chat &amp; Call button &#8211; Chaty",chaty,18.07,9.1,9000,0,0,4.06,58,4.9,4.9
BP Profile Search,bp-profile-search,18.06,9.21,10000,0,0,3.85,47,5.0,5.0
Democracy Poll,democracy-poll,18.04,9.21,10000,0,0,3.93,51,4.9,4.9
GEO my WordPress,geo-my-wp,17.96,8.99,8000,0,0,4.48,88,4.5,4.5
Food and Drink Menu,food-and-drink-menu,17.94,9.21,10000,0,0,3.93,51,4.8,4.8
User Meta &#8211; User Profile Builder and User management plugin,user-meta,17.92,8.01,3000,0,0,5.51,248,4.4,4.4
Team Builder,team-builder,17.92,8.85,7000,0,0,4.37,79,4.7,4.7
YourChannel: Everything you want in a YouTube plugin.,yourchannel,17.88,9.21,10000,0,0,3.97,53,4.7,4.7
Easy Property Listings,easy-property-listings,17.84,8.7,6000,0,0,4.44,85,4.7,4.7
Social LikeBox &amp; Feed,facebook-by-weblizar,17.83,10.6,40000,0,0,3.64,38,3.6,3.6
Restrict User Access &#8211; Membership Plugin with Force,restrict-user-access,17.79,9.21,10000,0,0,4.08,59,4.5,4.5
WidgetKit for Elementor,widgetkit-for-elementor,17.78,9.9,20000,0,0,3.18,24,4.7,4.7
Atomic Blocks &#8211; Gutenberg Blocks Collection,atomic-blocks,17.77,9.9,20000,0,0,3.37,29,4.5,4.5
Enjoy Instagram feed with Widget and Shortcode on WordPress website,enjoy-instagram-instagram-responsive-images-gallery-and-carousel,17.77,9.21,10000,0,0,4.26,71,4.3,4.3
Speed Contact Bar,speed-contact-bar,17.76,9.21,10000,0,0,3.95,52,4.6,4.6
Toolbar Publish Button,toolbar-publish-button,17.75,9.21,10000,0,0,3.74,42,4.8,4.8
Avatar Manager,avatar-manager,17.74,9.21,10000,0,0,3.53,34,5.0,5.0
Co-Authors Plus,co-authors-plus,17.74,10.31,30000,0,0,3.93,51,3.5,3.5
"WP ERP &#8211; Complete WordPress Business Manager with HR, CRM &amp; Accounting Systems for Small Businesses",erp,17.7,9.21,10000,0,0,3.99,54,4.5,4.5
Pie Register &#8211; Custom Registration Form and User Login WordPress Plugin,pie-register,17.69,8.99,8000,0,0,4.8,122,3.9,3.9
Organic Builder Widgets &#8211; An Easier Page Builder,organic-customizer-widgets,17.69,9.21,10000,0,0,3.78,44,4.7,4.7
"Users Ultra Membership, Users Community and Member Profiles With PayPal Integration Plugin",users-ultra,17.68,7.6,2000,0,0,5.78,325,4.3,4.3
Booking Ultra Pro Appointments Booking Calendar Plugin,booking-ultra-pro,17.68,8.29,4000,0,0,5.28,197,4.1,4.1
Notification &#8211; Custom Notifications and Alerts for WordPress,notification,17.65,8.52,5000,0,0,4.23,69,4.9,4.9
Login for WordPress,wp-facebook-login,17.65,8.99,8000,0,0,3.76,43,4.9,4.9
"WordPress User Registration, Front-end Login &amp; User Profile – ProfilePress",ppress,17.64,8.52,5000,0,0,4.62,102,4.5,4.5
"Free Popups, WordPress Lead Generation Opt in, Email Popup, Exit-Intent Popup – Poptin",poptin,17.63,8.99,8000,0,0,4.04,57,4.6,4.6
Custom User Profile Photo,custom-user-profile-photo,17.6,9.9,20000,0,0,3.3,27,4.4,4.4
WOOBE &#8211; Products Bulk Editor for WooCommerce,woo-bulk-editor,17.58,9.9,20000,0,0,3.18,24,4.5,4.5
Login Logout Register Menu,login-logout-register-menu,17.58,9.21,10000,0,0,3.37,29,5.0,5.0
AJAX Login and Registration modal popup + inline form,ajax-login-and-registration-modal-popup,17.56,8.52,5000,0,0,4.14,63,4.9,4.9
Automatic Domain Changer,automatic-domain-changer,17.5,9.9,20000,0,0,3.3,27,4.3,4.3
iFlyChat &#8211; WordPress Chat,iflychat,17.45,8.29,4000,0,0,4.55,95,4.6,4.6
Client Invoicing by Sprout Invoices &#8211; Easy Estimates and Invoices for WordPress,sprout-invoices,17.44,7.6,2000,0,0,5.04,154,4.8,4.8
Affiliates,affiliates,17.42,8.7,6000,0,0,4.42,83,4.3,4.3
WordPress Online Booking and Scheduling Plugin – Bookly,bookly-responsive-appointment-booking-tool,17.42,9.9,20000,0,0,4.22,68,3.3,3.3
Contact &#8211; Registration &#8211; Post Form Builder &amp; FrontEnd Editor BuddyForms &#8211; Making WordPress Forms A Breeze,buddyforms,17.4,8.01,3000,0,0,4.69,109,4.7,4.7
WP User Avatars,wp-user-avatars,17.39,9.9,20000,0,0,2.89,18,4.6,4.6
Twitter Widget Pro,twitter-widget-pro,17.39,9.9,20000,0,0,4.19,66,3.3,3.3
